customer_id,checking_account_status,loan_duration_mo,credit_history,purpose,loan_amount,savings_account_balance,time_employed_yrs,payment_pcnt_income,gender_status,other_signators,time_in_residence,property,age_yrs,other_credit_outstanding,home_ownership,number_loans,job_category,dependents,telephone,foreign_worker,bad_credit,log_loan_duration_mo,log_loan_amount,log_age_yrs
1122334,< 0 DM,6,critical account - other non-bank loans,radio/television,1169,unknown/none,>= 7 years,4,male-single,none,4,real estate,67,none,own,2,skilled,1,yes,yes,0,1.791759469228055,7.063903961472068,4.204692619390966
6156361,0 - 200 DM,48,current loans paid,radio/television,5951,< 100 DM,1 - 4 years,2,female-divorced/separated/married,none,2,real estate,22,none,own,1,skilled,1,none,yes,1,3.871201010907891,8.691314551644853,3.091042453358316
2051359,none,12,critical account - other non-bank loans,education,2096,< 100 DM,4 - 7 years,2,male-single,none,3,real estate,49,none,own,1,unskilled-resident,2,none,yes,0,2.4849066497880004,7.647786045440933,3.8918202981106265
8740590,< 0 DM,42,current loans paid,furniture/equipment,7882,< 100 DM,4 - 7 years,2,male-single,guarantor,4,building society savings/life insurance,45,none,for free,1,skilled,2,none,yes,0,3.7376696182833684,8.97233695775495,3.8066624897703196
3924540,< 0 DM,24,past payment delays,car (new),4870,< 100 DM,1 - 4 years,3,male-single,none,4,unknown-none,53,none,for free,2,skilled,2,none,yes,1,3.1780538303479458,8.490849216076635,3.970291913552122
3115687,none,36,current loans paid,education,9055,unknown/none,1 - 4 years,2,male-single,none,4,unknown-none,35,none,for free,1,unskilled-resident,2,yes,yes,0,3.58351893845611,9.111072370317514,3.5553480614894135
8251714,none,24,current loans paid,furniture/equipment,2835,500 - 1000 DM,>= 7 years,3,male-single,none,4,building society savings/life insurance,53,none,own,1,skilled,1,none,yes,0,3.1780538303479458,7.949797216161852,3.970291913552122
2272783,0 - 200 DM,36,current loans paid,car (used),6948,< 100 DM,1 - 4 years,2,male-single,none,2,car or other,35,none,rent,1,highly skilled,1,yes,yes,0,3.58351893845611,8.846209127360996,3.5553480614894135
1865292,none,12,current loans paid,radio/television,3059,>= 1000 DM,4 - 7 years,2,male-divorced/separated,none,4,real estate,61,none,own,1,unskilled-resident,1,none,yes,0,2.4849066497880004,8.025843344150903,4.110873864173311
8369450,0 - 200 DM,30,critical account - other non-bank loans,car (new),5234,< 100 DM,unemployed,4,male-married/widowed,none,2,car or other,28,none,own,2,highly skilled,1,none,yes,1,3.4011973816621555,8.562931083090092,3.332204510175204
